idAlbum,strAlbum,strArtist,intYearReleased,strStyle,strGenre,strLabel,strReleaseFormat,intSales,intLoved,intScore,intScoreVotes,strReview,strMood,strSpeed
2143700,Live 2012,Coldplay,2012,Rock/Pop,Pop-Rock,Parlophone,Live,0,,8.5,2,,Relaxed,Medium
2198792,The Singles 1999-2006,Coldplay,2007,Rock/Pop,Pop-Rock,Parlophone,Compilation,0,,10,1,,Relaxed,
2205903,Ghost Stories,Coldplay,2014,Rock/Pop,Pop-Rock,Parlophone,Album,0,1,7.4,8,,Relaxed,Medium
2241771,Greatest Hits,Coldplay,2008,Rock/Pop,Alternative Rock,Parlophone,Compilation,0,,,,,,
2247757,Ghost Stories Live 2014,Coldplay,2014,Rock/Pop,Pop-Rock,Parlophone,Live,0,,,,,Relaxed,Medium
2270458,B-Sides,Coldplay,0,Rock/Pop,Alternative Rock,Parlophone,Compilation,0,,,,,Happy,Medium
2270459,That Hits,Coldplay,2014,Rock/Pop,Alternative Rock,Parlophone,Compilation,0,,,,,Happy,Medium
2270460,Best of You,Coldplay,0,Rock/Pop,Alternative Rock,Parlophone,Compilation,0,,,,,Happy,Medium
2270461,Coldplay 4 CD Catalogue Set,Coldplay,0,Rock/Pop,Alternative Rock,Parlophone,Compilation,0,,,,,Happy,Medium
2270462,The Singles 1999 - 2008,Coldplay,0,Rock/Pop,Alternative Rock,Parlophone,Compilation,0,,,,,Happy,Medium
2277598,Christmas Lights,Coldplay,2010,...,...,,Single,0,,,,,,
2277603,Every Teardrop Is a Waterfall,Coldplay,2011,...,...,,Single,0,,,,,,
2279758,A Head Full of Dreams,Coldplay,2015,Rock/Pop,Alternative Rock,,Album,0,,6.8,4,,Happy,Medium
2279759,Trouble: Norwegian Live EP,Coldplay,2001,Rock/Pop,Alternative Rock,,EP,0,,,,,Happy,Medium
2282194,Kaleidoscope EP,Coldplay,2017,Rock/Pop,Alternative Rock,Parlophone,EP,0,,9,1,"The EP is a glorious return to Coldplay’s mid-’00s explorative period. Opening track ‘All I Can Think About Is You’ begins as a dusky, ambient Radiohead art-throb in which a muffled Martin mumbles about “chaos giving orders”, sounding as if he’s hiding underwater from the political nightmares of 2017. Then, three minutes in, familiar ‘Clocks’ piano chords kick in and the tune becomes a celestial scream of adoration, love rising above Trumpageddon.  Aliens, a collaboration with Brian Eno, is even more outré, mingling Spanish guitar with space-age synths. These five tracks climax with ‘Hypnotised’, a solemn country swooner resembling John Lennon’s ‘Mother’, easily their best barnstorming ballad since ‘Fix You’. It’s heartening evidence that Coldplay haven’t entirely been sucked into the machinery while trying to subvert pop music from within. Is it too much to hope that their Avicii period was the experiment, and this the return to the norm?   -- Reviewed by  nme.com
",Happy,Medium
2113725,+,Ed Sheeran,2011,Rock/Pop,Pop,Atlantic,Album,3925000,2,8.3,3,"Lines between genres have never been more blurred than right now, especially in the mainstream. Experimentation with styles and the melding of musical approaches is to be commended, obviously; but to relate authenticity with consistent, similar output is something very wrong indeed, as not everybody singing the same song is coming from the same place. These charting mutations and variations have as much to do with our culture of instant gratification as they do with music growing out-of-date more quickly ”“ and what better person to stand tall at the lectern than 20-year-old Ed Sheeran, whose unlikely combination of acoustic folk and grime has seen him become one of 2011’s biggest domestic successes.
This is a man who’s been couch-surfing for six years while incessantly gigging, putting out new music, plugging, and building a fanbase (and getting said fans to absolutely worship him). He’s worked with grime artists and toured with Nizlopi, getting shout-outs along the way from Elton John and Jamie Foxx. Given the effort he’s put in, it’s certainly hard to begrudge Sheeran his achievements to date. Raised in Framlingham, Suffolk, he could always see further than the confines of his home town, and recorded his first EP aged 14 ”“ the same year MySpace was bought for $580m by NewsCorp, for some context. Hard grafters were slightly easier to spot in 2005, and users of social media had to try harder to define themselves: The JCB Song’s run for the Christmas number one felt like a huge-scale rebellion back then.
But it’s a shame that Sheeran’s biography is a better summation of where we’re at right now than this debut album, on which his precocious self-referencing can become infuriating. You Need Me, I Don’t Need You is unbearable, as he sings, ""I’ve done around about a thousand shows / But I haven’t got a house plus I live on a couch / So you believe the lyrics when I’m singing them out"". The escapist Drunk is sweet, but his auto-biographical approach to writing has a very limited shelf-life because, essentially, the story just isn’t interesting enough to stretch across 12 tracks. There are standout cuts, though: Grade 8 is a flying track made for radio which opens with a bassline seeped in the nostalgia of Wifey by RnB boyband Next. The City’s chorus also soars; again, the song draws on 90s RnB with Sheeran’s driving, natural delivery and some emphatic drum fills comprising winning constituents.
+ will give Sheeran’s rabid fanbase a lot to love, but it’ll also make him an easy target for critics hungry for new directions in pop, as it fails to really gel the man’s loves of folk and rap. But even though originality isn’t quite what it could be throughout this set, the way he observes and picks situations apart is quite something ”“ something to be developed for album two, certainly. If he ditches his bottom-of-a-Tube-escalator ballads (see Kiss Me) and stops trying to show off, Sheeran could well become a thrilling proposition over an entire long-player, rather than just in all-too-brief moments of magic.",Philosophical,Medium
2120067,You Need Me,Ed Sheeran,2009,Rock/Pop,Pop,Atlantic,EP,0,,,,,Philosophical,
2120068,No.5 Collaborations Project,Ed Sheeran,2011,Rock/Pop,Pop,Atlantic,Live,0,,,,,Philosophical,Medium
2166294,"You Need Me, I Don't Need You (Remixes)",Ed Sheeran,2011,Rock/Pop,Pop,Atlantic,EP,0,,,,,Philosophical,
2166295,One Take,Ed Sheeran,2011,Rock/Pop,Pop,Atlantic,EP,0,,,,,Philosophical,
2199994,I See Fire,Ed Sheeran,2014,Rock/Pop,Pop,Atlantic,Single,0,,10,1,,Philosophical,Medium
2212099,x,Ed Sheeran,2014,Rock/Pop,Pop,Atlantic,Album,1000000,1,7.8,6,,Philosophical,Slow
2240690,5,Ed Sheeran,2015,Rock/Pop,Pop,Atlantic,Compilation,0,,,,,Philosophical,Medium
2251596,Songs I Wrote With Amy,Ed Sheeran,2010,Rock/Pop,Pop,Atlantic,EP,0,,,,,,
2251624,"You Need Me, I Don't Need You",Ed Sheeran,2012,Rock/Pop,Pop,Atlantic,Single,0,,,,,,
2251625,The Orange Room EP,Ed Sheeran,2005,Rock/Pop,Pop,Atlantic,EP,0,,,,,,
2251627,Give Me Love,Ed Sheeran,2012,Rock/Pop,Pop,Atlantic,Single,0,,,,,,
2251673,Photograph,Ed Sheeran,2015,Rock/Pop,Pop,Atlantic,Single,0,,,,,,
2277157,Shape of You (Galantis remix),Ed Sheeran,2017,Rock/Pop,Pop,Atlantic,Single,0,,,,,,
2277991,÷,Ed Sheeran,2017,Rock/Pop,Pop,Atlantic,Album,0,,6.3,3,"÷ has been given a Metacritic score of 62 based on 17 reviews, indicating ""generally favorable reviews"".[17][26] Martin Townsend of the Daily Express gave a highly positive five-star review, calling it ""Ed's strongest collection to date"" and ""a shimmering and magical record"" and also said ""Ed does the toughest thing in pop music disarmingly well, he writes and performs songs which are rooted winningly in smalltown everyday life but which strike a universal chord.""[18] Maura Johnston of Rolling Stone gave a four-star review, commenting that ""Ed is still showcasing pop savvy on Divide"" and going on to say that he ""doubles down on the blend of hip-hop bravado and everyday-bloke songwriting that helped him break out at the turn of the decade.""[25] Roisin O'Connor of The Independent also gave the album a four-star rating, claiming ""[the album] leans on little asides from Sheeran's own talent"" and that it was ""astonishing for its sheer ambition alone"".[22] Jordan Bassett of NME described the album as ""a collection that, somehow, adheres to his perfect pop template... while also being quietly weird"", and that the album is ""likeable"", ""assured but unassuming and sometimes hard to fathom"".[23] Mark Kennedy of the Associated Press, after commenting on the album's ""missteps"", said that it ""is certain to add listeners, subtract a few weary of his inconsistency, but definitely multiply his bank account,"" and ultimately called Sheeran ""a special talent.""[27]

Some reviews were unfavourable; Harriet Gibsone of The Guardian gave the album a two-star rating out of five, calling it ""no less calculating than his peers at the very top level of pop stardom"".[21] In a negative review of 2.8 out of 10, Laura Snapes of Pitchfork stated: ""considering he [Sheeran] is among the most successful songwriters in the world, a lot of his lyrics do not even scan.""[24] In another negative review, writing for Drowned in Sound, David Hillier gave ÷ a 3/10 rating, calling it ""the most anodyne and bland pop album possible.""[28]",Philosophical,Medium
2132504,Speak Now,Taylor Swift,2010,Rock/Pop,Country,,Album,4200000,,6,1,"They grow up so fast these days, don’t they? Having taken the lion’s share of the writing credits on 2008’s mammoth-selling Fearless, all of the songs on Taylor Swift’s new album are self-penned, betraying the sort of accomplishment that should keep her sitting pretty in the rock firmament for as long as she likes. Still only 20, that could be a mighty long time.

Although Nathan Chapman is still in the producer’s chair, there’s a perceptible, sonic move away from Nashville; the shift had clearly begun on Fearless, managing the crossover to the global mainstream with ease, but Speak Now plugs a sturdy marker in the pop-rock soil. On current single and terrific opening track Mine, the slide guitar is buried so deep in mix, it’s almost apologetic – or even a joke at the expense of Swift’s roots. But the twang in her voice is here to stay, somehow reinforcing the emotional heft of her homespun tales of teen love and loss.

Those preoccupations remain to the fore, yet a creeping maturity is plain. On serene ballad Dear John, Swift wonders, ""Don’t you think 19’s too young to be played by your dark, twisted games?"", and later, on the spidery Innocent, she sighs, ""It’s okay, life is a tough crowd"". This is a more bruised writer than the young Juliet on Love Story. Last Kiss is heartbreaking (""You told me you loved me so why did you go… away?""), a lump in the throat to a music box waltz. Nestled amid all the love and regret, however, are sunburst pop nuggets like Never Grow Up and Enchanted that would brighten any daytime radio playlist. And on closer Long Live, personal reflections take on a more triumphant tone, a late shot of versatility that underlines Swift’s narrative skill.

Talent to burn has its own pitfalls, of course. At 14 songs – and most comfortably over four minutes – Speak Now is too long, and when you’ve heard half a dozen perky laments you’ve heard, well, quite a lot. Swift is less convincing too when practising a snarly edge on Better Than Revenge or letting rip with her overwrought inner Bonnie Tyler on Haunted, but these only jar because quality elsewhere is so high. With some judicious – let’s have it then – tailoring, this is a sparky and affecting record, moving Swift on at a stately and assured pace.",Needy,
2111259,Taylor Swift,Taylor Swift,2006,Rock/Pop,Country,,Album,5600000,,8,1,,Needy,Medium
2116560,Fearless,Taylor Swift,2008,Rock/Pop,Country,,Album,8600000,,10,1,,Needy,Medium
2125627,Red,Taylor Swift,2012,Rock/Pop,Country,,Album,4000000,,7.5,2,,Needy,Slow
2161377,CMT Crossroads,Taylor Swift,2009,Rock/Pop,Country,,Soundtrack,0,,,,,Needy,Medium
2222841,1989,Taylor Swift,2014,Rock/Pop,Country,,Album,0,,8.3,3,,Needy,Medium
2251613,Everything Has Changed,Taylor Swift,2013,...,...,,Single,0,,,,,,
2262136,The 1989 World Tour,Taylor Swift,2015,Rock/Pop,Pop,,Broadcast,0,1,10,1,,Energetic,Medium
2284741,The Taylor Swift Megamix,Taylor Swift,2015,Rock/Pop,Pop,,Compilation,0,,,,,Energetic,Medium
2287637,…Ready for It?,Taylor Swift,2017,...,...,,Single,0,,,,,,
2288123,reputation,Taylor Swift,2017,Rock/Pop,Pop,"Big Machine Records, LLC",Album,0,,8,1,"Swift doesn't switch into ballad mode much on Reputation, which is a real shame – if you're a fan of her epic weepers like ""All Too Well"" or ""Clean"" or ""Last Kiss,"" you might picture her acoustic guitar sitting alone in the corner, impatiently clearing its throat. But she saves up her ballad mojo for the killer finale ""New Year's Day,"" which continues her streak of ending each album with a sinus-exploding mess of a tearjerker. It's the quietest moment on Reputation, yet the most powerful – she wakes up after a glam New Year's bash (""Glitter on the floor after the party/Girls carrying their shoes down in the lobby"") and reflects on what she has left to call her own, which is the not-so-glam partner she'll be spending this not-so-glam day with. It's a tiny moment between two people, a moment the rest of the world will never notice. And all over Reputation, Swift makes those moments sound colossal, the way only she can.
Reviewed by rollingstone.com.",Energetic,Medium
2134188,Believe (Acoustic),Justin Bieber,2013,Rock/Pop,Pop,,Album,0,,,,N/A,Good Natured,
2113853,My Worlds,Justin Bieber,2010,Rock/Pop,Pop,,Album,0,,7,1,"Justin Bieber is a young man with a sweet voice who has been transformed into a huge entertainment machine. His CD insert lists everyone involved in his career so far, from the studio engineers and executive producers to the legal team and even the lady responsible for “grooming” that perfect hair. There’s no room for lyrics and barely any for photos.

My Worlds is Justin’s debut mini-album My World expanded, incorporating the tracks released as My World 2.0 in the US. It has been released in two halves because of an early, insatiable demand for songs, once his YouTube appeal was translated into a record deal.

Now, for all the talk about this album being by a teenager, for teenagers, there’s not a lot going on here which is unique to modern youth. Most people know what a first dance is, for example. And even the fustiest of grown-ups can work out what an “eenie meenie minie moe lover” is, if they think about it hard enough.

In fact it’s the songs which try to show understanding of the teenage world which fall over easily. Somebody to Love is a straightforward plea for a soul mate; it says something we’ve all felt, whereas I can safely say that no-one has ever compared love to maths homework, as they do in Common Denominator.

But despite the clunky moments, there’s ample proof that Team Bieber know exactly what they’re doing and who they’re talking to. As you’d expect, it’s the ballads that hit the hardest.

Stuck in the Moment is the classic doomed-love tragedy: they can’t be together, but they cannot bear to part. Naturally it mentions Romeo and Juliet, and Bonnie and Clyde. Up is the flipside, in which Justin realises love makes him invulnerable.

That Should Be Me, the grand finale, is going to cause nothing but emotional pandemonium in households and bedrooms all over the land. It’s a sobbing ballad in which Justin pleads the girl who left him behind (how could she?) to take him back.

To which his fans will answer as one: Justin, we would never have let you go in the first place.",Good Natured,Medium
2113854,My World 2.0,Justin Bieber,2010,Rock/Pop,Pop,,Album,1000000,,3.7,3,N/A,Good Natured,
2113855,Believe,Justin Bieber,2012,Rock/Pop,Pop,,Album,500000,,6,2,"Marking his progression from screaming-kids-in-tow starlet to something close to a pop god, Justin Bieber’s new album not only finds him becoming an artist for adults on his own terms, but showcasing impressively distinctive tones and translating an innate charisma across many styles.

Believe is glitzier than his debut, My World(s), but Bieber doesn’t leave his faithful audience behind in pursuit of a broader fanbase. There are still returns to his years of tween appeal, notably on Be Alright, Fall and the title track.

But throughout, this album presents proof that expensive-sounding songs don’t need to be about material things, regardless of how much Bieber wants to scream that he’s an adult now. Despite the array of impressive guest contributors – Nicki Minaj, Drake, Ludacris, Big Sean, Mike Posner, Diplo – Bieber’s never overshadowed. He has grown into this role to such an extent that the ""featuring"" turns never steal his spotlight.

He’s aware that he’s still three years too young to get into the clubs where his beats belong; lyrically, his focus on love and faith is both explicit and suitably open – and, admirably, never puerile. Stepping back briefly, he’s simply being the teen star that he still is. The unshowiness of Bieber’s lyrics is played up, and his confidence, for the most part, played down.

It’s fine that his vocal simpers on the verses of As Long As You Love Me, because the song’s pulsating undercurrent propels it onto the dancefloor. And this is exactly why comparisons with Justin Timberlake’s showy dreamboat persona are misleading. Believe presents Bieber as an 18-year-old in love, rather than desperate for an audience to adore him.

The way he gets introspective on the Babyface-produced Catching Feelings is a rare delight: it sees him caught up in a daydream, like Robin Thicke for a younger generation. And other highlights are plentiful: Die in Your Arms’ Michael Jackson sample is worth every penny, while One Love’s space-age synths, watered down DnB beat and defiant lack of fluff make it a total mega-hit.

Believe doesn’t take as many risks as it might (those are saved for bonus tracks), but it’s not meant to be a big and bold collection. It’s simply, elegantly, propelling Bieber into the next chapter of his career. And for an album whose aims are so remarkably graceful, Believe exceeds all expectations.",Good Natured,Medium
2134186,My World,Justin Bieber,2009,Rock/Pop,Pop,,EP,0,,8,1,"Justin Bieber is guaranteed to bring out the worst in critics looking to write the cocky teenager (have you seen him being interviewed? He certainly doesn’t lack confidence) off without a single listen to this, ‘part one’ of his debut album. He’s got the fame (initially via YouTube), if not the fortune yet, and he’s just 15. Makes you sick. But such is the talent assembled here that nobody should assume the Canadian’s a gimmicky artist with a short shelf life, pitched to appeal exclusively to Disney Channel viewers.

This disc – part two will follow later this year, explaining just the seven tracks on offer here – finds the piercingly high-pitched vocalist working with such big industry names as Usher (who effectively got him his deal), The-Dream, Zeke Lewis and Tricky Stewart. That’s some support, and for the most part it serves its purpose well: the studious graft behind Bieber’s completely generic, RnB-inflected, Auto-Tune’d pop vocals comprises the bulk of this record’s appeal. Unspectacular but never below-par, these arrangements efficiently evince the star of the show’s ability, which while limited is sure to develop. After all, from the sounds of things he’s yet to hit puberty.

Which does make for several awkward lyrical moments: “I was a player when I was younger,” Bieber states on Bigger, leaving one to hope he’s talking about Little League rather than chasing skirt. Hit single One Time is similarly uncomfortable, our protagonist’s insistence that “many have called” but he’s choosing this one girl (lucky her, though she’ll have to stoop for a kiss) sure to make most with Real Life Relationship Experience cringe. But its thudding beat and syrupy message of monogamic commitment are perfect ingredients for mainstream appeal. Plus, its PG-rated content ensures no parent is going to frown upon their offspring indulging in a little idolising.

Perfunctory fare, then, but nothing to get unnecessarily aggrieved about, My World is introduction enough to both embrace a sizeable audience – okay, fundamentally those of a similar age to the artist – and accept the rejection of just as many squirming listeners. It’s production-line stuff, but with just the slightest sting in its tail:  an electro-infused reinterpretation of The Cardigans' Lovefool, where Bieber exhibits the right kind of attitude, playful and endearing. Here’s to less of the adolescent playboy on part two, and more of the cheeky chap rightfully having the time of his young life.",Good Natured,Medium
2134187,Under the Mistletoe,Justin Bieber,2011,Rock/Pop,Pop,,Album,0,,3.5,2,N/A,Good Natured,
2134495,Never Say Never: The Remixes,Justin Bieber,2011,Rock/Pop,Pop,,Remix,0,,,,N/A,Good Natured,Medium
2211745,Journals,Justin Bieber,2013,Rock/Pop,Pop,,Album,0,,,,,Good Natured,
2251733,Purpose,Justin Bieber,2015,Rock/Pop,Pop,,Album,0,,8,1,,Good Natured,Medium
2283128,What Do You Mean,Justin Bieber,0,...,...,,,0,,,,,,
2110664,Encore,Eminem,2004,Urban/R&B,Hip-Hop,,Album,11000000,,6.8,5,"Encore finds Marshall Mathers at something of a crossroads in his career. 31-years-old, rich and successful -he's played the belligerent poor white trash outsider for five years now. Kicking back in his big executive Shady Records chair, you've got to wonder if he's still got the stomach to become Eminem.
Having cleared out the closet of his private life, what does the man whos given us five years of rants against his mother and his ex-wife (not to mention 8 Mile) have left to say about his favorite subject: himself?
The result, ultimately, is not a lot. Encore starts fantastically but ends abominably. Actually, it's worse than that.Twothirdsof this record could be Weird Al Yankovic, such is its woefulness.
This is particularly frustrating when opener ""Evil Deeds"" suggests it could have been his In Utero - ""The shows over, you can all go home now"", he spits wearily, ""but the curtain don't close for me"".
Sidestepping the soap opera of his personal life, this is Eminem at his most thrilling -holding his outsider status up to the light while untangling the bullshit world of corporate hip-hop. ""Like Toy Soldiers"" is a cutting indictment on the machismo world of the beef (against a giddily addictive Martika sample) and ""Mosh"" directs some well-aimed anger at the current US administration.
But, from that moment on, he bottles it. To the sound of retching and a flushing toilet we're straight into ""Puke"". It's an appropriate metaphor for an album that degenerates into nothing more than an extended fart joke.
The lowpoints? There's too many to mention - although the desperate misogyny of ""Spend Some Time"" should probably be singled out. That's saying something on a track listing that includes ""Big Weenie"" and ""Ass Like That""; this is bottom feeder stuff.
The woeful D-12 appear , Anthill Mob-like, at the end to pop a few caps, but by then it's too late. Encore is an album for the downloaders -afew great songs tacked onto an hour of dicking about.",Angry,Medium
2110665,Infinite,Eminem,1996,Urban/R&B,Hip-Hop,,Album,0,,5,1,,Angry,
2110666,Recovery,Eminem,2010,,Hip-Hop,,Album,17000000,,7.2,5,,Angry,Medium
